"prod1AAM","prod2AAM","react1AAM","react2AAM","ea","category"
35,"35661676711",35,"35661676711",29,2
35,"3566167161116111",35,"3566167161116111",33,3
35,"3566116761116111",35,"3566116761116111",38,3
35,"356611161111",35,"356611161111",24,2
35,"356611116111",35,"356611116111",18,2
35,"35661178861116111",35,"35661178861116111",39,3
35,"35661171111",35,"35661171111",28,2
35,"35661788111",35,"35661788111",24,2
35,"3566178878811",35,"3566178878811",27,2
35,"35661711111",35,"35661711111",25,2
35,"3566171171111",35,"3566171171111",34,3
17,"35661676711",35,"17661676711",33,3
17,"356616111611111",35,"176616111611111",30,2
35,"661161116111",35,"176616111611111",41,3
17,"35661611116767",35,"17661611116767",20,2
17,"356616111161116111",35,"176616111161116111",37,3
17,"3566116711",35,"1766116711",27,2
17,"35661161116767",35,"17661161116767",19,2
17,"35661116767",35,"17661116767",19,2
17,"3566111676111",35,"1766111676111",29,2
17,"3566111611167",35,"1766111611167",29,2
35,"6661116711",35,"1766111611167",33,3
35,"66611178811",35,"17661116111788",34,3
35,"661111",35,"176611111",39,3
17,"35661117886111",35,"17661117886111",31,3
17,"35661178861116111",35,"17661178861116111",42,3
17,"3566117116767",35,"1766117116767",24,2
35,"66111711",35,"17661171111",41,3
17,"35661788111",35,"17661788111",28,2
17,"3566178878811",35,"1766178878811",31,3
35,"6667677111",35,"1766171116767",27,2
35,"66117111",35,"17661711111",39,3
35,"666767711711",35,"176617117116767",23,2
17,"3566171171111",35,"1766171171111",40,3
35,"6611711711",35,"1766171171111",34,3
9,"3566167111",35,"966167111",45,3
9,"356616111611161116111",35,"96616111611161116111",56,4
9,"356616111611111",35,"96616111611111",47,4
9,"356616111161116111",35,"96616111161116111",53,4
9,"3566111611167",35,"966111611167",43,3
9,"35661178861116111",35,"9661178861116111",54,4
9,"35661171161116111",35,"9661171161116111",55,4
35,"66111711",35,"9661171111",60,4
9,"35661711161116111",35,"9661711161116111",53,4
9,"3566171171161116111",35,"966171171161116111",60,4
9,"3566171171111",35,"966171171111",54,4
35,"6611711711",35,"966171171111",45,3
35,"17661676761116111",17,"35661676761116111",36,3
35,"9661676761116111",9,"35661676761116111",27,2
35,"17661676711",17,"35661676711",21,2
35,"9661676711",9,"35661676711",3,1
35,"96616767711711",9,"356616767711711",27,2
35,"666767671",17,"356616716767",12,1
35,"6661116111671",17,"3566167161116111",27,2
35,"1766167161116111",17,"3566167161116111",27,2
35,"966167161116111",9,"3566167161116111",16,2
35,"166167161116111",1,"3566167161116111",16,2
35,"66711711671",1,"35661671711711",3,1
35,"66676761116111",17,"35661611161116767",17,2
